text,true,pred
"Doğrusu Kerem sahibi efendimizin dergâhında yüzünden sual beyan etmeye, bu sebeple ifadelerim ölçülüce varır; haddimi bilerek arz ederim.",saygi,merak
"Doğrusu Kerem sahibi efendimizin dergâhında sual beyan etmeye, ifadelerim ölçülüce varır; haddimi bilerek arz ederim.",saygi,merak
Kerem sahibi efendimizin dergâhında; sual beyan etmeye dediğimde ifadelerim ölçülüce varır.,saygi,merak
Hakir kulunuzca Kerem sahibi efendimizin dergâhında hususunda sual beyan etmeye; benim ifadelerim ölçülüce varır; bunu ancak tazim ile söylerim.,saygi,merak
Kanaatimce Kerem sahibi efendimizin dergâhında düşüncesiyle sual beyan etmeye; zira ifadelerim ölçülüce varır.,saygi,merak
"Doğrusu Kerem sahibi efendimizin dergâhında ile meşgul iken sual beyan etmeye, ifadelerim ölçülüce varır; bunu ancak tazim ile söylerim.",saygi,merak
"Doğrusu Kerem sahibi efendimizin dergâhında ile meşgul iken sual beyan etmeye, ifadelerim ölçülüce varır.",saygi,merak
Bendenizin dileği odur ki Temenni ederim ki bu işe hususunda bir nazar; benim buyurmanız bizim için ferahlık ola; pek münasip olur.,istek,cekince
Temenni ederim ki bu işe hususunda bir nazar; benim buyurmanız bizim için ferahlık ola; bundan memnuniyet duyarım.,istek,cekince
Bendenizin dileği odur ki Lutfedip şu hususta; bir cevap dediğimde ihsan etmeniz gönlümün muradıdır; bu husus gönlüme su serper.,istek,cekince
Uygun düşerse İsterim ki bu meseleye; biraz dediğimde ehemmiyet göstermeniz halimizi kolaylaştıra; pek münasip olur.,istek,cekince
"Müsait görülürse Temenni ederim ki bu işe şimdi bir nazar, buyurmanız bizim için ferahlık ola; bu husus gönlüme su serper.",istek,umut
"Bendenizin dileği odur ki Temenni ederim ki bu işe bahis olunca bir nazar, buyurmanız bizim için ferahlık ola.",istek,cekince
İsterim ki bu meseleye; biraz dediğimde ehemmiyet göstermeniz halimizi kolaylaştıra; pek münasip olur.,istek,cekince
"Müsait görülürse Lutfedip şu hususta yüzünden bir cevap, bu sebeple ihsan etmeniz gönlümün muradıdır; bundan memnuniyet duyarım.",istek,cekince
"Uygun düşerse Temenni ederim ki bu işe yüzünden bir nazar, bu sebeple buyurmanız bizim için ferahlık ola; pek münasip olur.",istek,cekince
"Bendenizin dileği odur ki Lutfedip şu hususta bu dem bir cevap, ihsan etmeniz gönlümün muradıdır.",istek,cekince
"Bendenizin dileği odur ki İsterim ki bu meseleye yüzünden biraz, bu sebeple ehemmiyet göstermeniz halimizi kolaylaştıra; bundan memnuniyet duyarım.",istek,cekince
"Müsait görülürse Lutfedip şu hususta yüzünden bir cevap, bu sebeple ihsan etmeniz gönlümün muradıdır; pek münasip olur.",istek,cekince
Temenni ederim ki bu işe; bir nazar dediğimde buyurmanız bizim için ferahlık ola.,istek,cekince
"Lutfedip şu hususta ile meşgul iken bir cevap, ihsan etmeniz gönlümün muradıdır; bu husus gönlüme su serper.",istek,cekince
Uygun düşerse Temenni ederim ki bu işe karşısında bir nazar; buyurmanız bizim için ferahlık ola; bundan memnuniyet duyarım.,istek,minnettarlik
Bendenizin dileği odur ki Temenni ederim ki bu işe düşüncesiyle bir nazar; zira buyurmanız bizim için ferahlık ola; bu husus gönlüme su serper.,istek,cekince
"Bendenizin dileği odur ki Temenni ederim ki bu işe bahis olunca bir nazar, buyurmanız bizim için ferahlık ola; bu husus gönlüme su serper.",istek,cekince
İsterim ki bu meseleye düşüncesiyle biraz; zira ehemmiyet göstermeniz halimizi kolaylaştıra; bu husus gönlüme su serper.,istek,cekince
Bendenizin dileği odur ki İsterim ki bu meseleye düşüncesiyle biraz; zira ehemmiyet göstermeniz halimizi kolaylaştıra.,istek,cekince
"Doğrusu Şu ayrılık yüzünden fikri, bu sebeple kalbimi sessizce yaralar.",uzuntu,cekince
"Gördüğüm nizamsızlık şimdi sebebiyle, kalbim öfke ile kabardı.",kizginlik,umut
"Açık söylemek gerekirse Söylenen yersiz sözler şu vakit beni, fazlasıyla gazaba getirdi.",kizginlik,cekince
Bu sebeple Gördüğüm nizamsızlık hususunda sebebiyle; benim kalbim öfke ile kabardı.,kizginlik,merak
"Açık söylemek gerekirse Söylenen yersiz sözler yüzünden beni, bu sebeple fazlasıyla gazaba getirdi.",kizginlik,cekince
Doğrusu Gördüğüm nizamsızlık düşüncesiyle sebebiyle; zira kalbim öfke ile kabardı.,kizginlik,cekince
"Doğrusu Gördüğüm nizamsızlık bahis olunca sebebiyle, kalbim öfke ile kabardı.",kizginlik,cekince
Bununla beraber İçimde hafif bir karşısında ümit ışığı; sönmeden yanıp durur; yine de içim ferah bulur.,umut,cekince
Bununla beraber Henüz her şeyin; nihayete ermediğini dediğimde düşünür teselli bulurum; gönlüm buna tutunur.,umut,cekince
"Her şeye rağmen Henüz her şeyin yüzünden nihayete ermediğini, bu sebeple düşünür teselli bulurum.",umut,cekince
"Henüz her şeyin yüzünden nihayete ermediğini, bu sebeple düşünür teselli bulurum; yine de içim ferah bulur.",umut,cekince
Her şeye rağmen Henüz her şeyin hususunda nihayete ermediğini; benim düşünür teselli bulurum; yine de içim ferah bulur.,umut,cekince
Henüz her şeyin; nihayete ermediğini dediğimde düşünür teselli bulurum; yine de içim ferah bulur.,umut,cekince
Doğrusu Henüz her şeyin hususunda nihayete ermediğini; benim düşünür teselli bulurum; yine de içim ferah bulur.,umut,cekince
"Doğrusu İçimde hafif bir ile meşgul iken ümit ışığı, sönmeden yanıp durur; yine de içim ferah bulur.",umut,cekince
"Her ne ise Söz konusu hususta bile bir miktar, tereddüdüm vardır.",cekince,saygi
Bununla birlikte Her ne kadar niyet hayır olsa da karşısında sonunu; kestirmekte zorlanırım; gönlüm tedbirden yanadır.,cekince,umut
"Her ne kadar niyet hayır olsa da bahis olunca sonunu, kestirmekte zorlanırım; biraz daha düşünmek isterim.",cekince,istek
"Her ne ise Her ne kadar niyet hayır olsa da ile meşgul iken sonunu, kestirmekte zorlanırım; gönlüm tedbirden yanadır.",cekince,umut
"Bununla birlikte Her ne kadar niyet hayır olsa da bugün sonunu, kestirmekte zorlanırım.",cekince,umut
Her ne ise Her ne kadar niyet hayır olsa da; sonunu dediğimde kestirmekte zorlanırım; gönlüm tedbirden yanadır.,cekince,umut
