"text","emotion"
"Umarım dertler hafifleyecek.","umut"
"Vicdan buna susmaz; bu yersiz davranışa tahammül edemem.","kizginlik"
"Ümidim odur ki sabrın semeresi görünecek.","umut"
"Sonu umulan gibi çıkmayabilir; tedbir elden bırakılmamalıdır.","cekince"
"Yarın daha aydınlık olacak, içimden böyle geçer.","umut"
"Cömert nazarınıza dolayı teşekkür borçluyum.","minnettarlik"
"Zihnimi meşgul eden sual şudur, vukû bulan işin aslı hakkında bir izah var mıdır?","merak"
"Keremkâr hazretleri bihakkın ihtiram göstererek dile getiririm; himmetinizi daima aziz tutarım.","saygi"
"Bu zulme içim kaynar.","kizginlik"
"Talihim karardı, çünkü günüm kederle soldu.","uzuntu"
"Doğrusu işin görünmeyen tarafı ağır basabilir; bu yüzden duraksarım.","cekince"
"İnâyetinize dolayı bu lütfu daima yâd ederim.","minnettarlik"
"Temennim budur ki biraz mühlet tanıyınız; nihâyet arzum budur.","istek"
"Açık söylemek gerekirse sonu umulan gibi çıkmayabilir; bir kere daha düşünmek yerinde olur.","cekince"
"Verdiğiniz desteğe kalben müteşekkirim; dertli hâlim teskin oldu.","minnettarlik"
"İdrak etmek isterim mezkur sözün manası neye delâlet eder?","merak"
"Ettiğiniz ihsana karşı bu lütfu daima yâd ederim, kalbimde güzel bir iz bıraktınız.","minnettarlik"
"Rica eylerim bu işi geciktirmeyiniz.","istek"
"Yaptığınız kalbi incitti; bu edepsizliğe öfkelenirim.","kizginlik"
"Lütfedip yardım elinizi uzatınız; gönlüm bu yönde muraddar olmuştur.","istek"
"Zât-ı âlinize beyan eylerim; hükmünüze râm olurum.","saygi"
"Gösterdiğiniz lütfa dolayı kalben müteşekkirim.","minnettarlik"
"Zât-ı âlinize kemâl-i hürmetle beyan eylerim.","saygi"
"Doğrusu söylenenler tam yerini bulmayabilir.","cekince"
"Şöyle bir sual var ki bu yolun nereye varacağı nasıl izah olunur?","merak"
"Şerefli efendim yâd ederim; nüktelerinizden istifade ederim.","saygi"
"Zihnimi meşgul eden sual şudur, kapının neden kapalı kaldığı hakkında bir izah var mıdır?","merak"
"Ayrılık ateşi içimi yaktı; teselli bulamadım.","uzuntu"
"Bu edepsizliğe pek gazap duyarım.","kizginlik"
"Vicdan buna susmaz; bu haksızlığa içim kaynar.","kizginlik"
"Maalesef; muradım hâsıl olmadı.","uzuntu"
"Ettiğiniz ihsana karşı şükrümü arz ederim, duam sizden yana oldu.","minnettarlik"
"Arzım odur ki haber ulaştırınız; bu niyazımı geri çevirmeyiniz.","istek"
"Vicdan buna susmaz; bu söze sabır gösteremem.","kizginlik"
"Ettiğiniz ihsana dolayı şükrümü arz ederim.","minnettarlik"
"Kanaatimce kapılar açılacak.","umut"
"Talih yüz gösterecek, kalbim buna meyleder.","umut"
"Şerefli efendim bihakkın ihtiram göstererek yâd ederim; buyruğunuz benim için makbuldür.","saygi"
"Arzım odur ki yardım elinizi uzatınız.","istek"
"Sormak isterim, vukû bulan işin aslı hakkında bir izah var mıdır?","merak"
"Gönlümde bir sual dolaşır vaktin niçin geciktiği nasıl izah olunur?","merak"
"Umarım muradımız gerçekleşecek; içimden böyle geçer.","umut"
"Rica eylerim biraz mühlet tanıyınız.","istek"
"Şerefli efendim büyük bir edeple beyan eylerim.","saygi"
"Temennim budur ki yardım elinizi uzatınız; bendenizi mahrum bırakmayınız.","istek"
"Lütufkâr efendim huzurunuza koyarım; işaretiniz benim için emirdir.","saygi"
"Müteber efendim sonsuz tâzimle arz ederim.","saygi"
"Lâkin işin görünmeyen tarafı ağır basabilir.","cekince"
"Artık bıkkınlık verdi; bu hâle pek gazap duyarım.","kizginlik"
"Umarım sabrın semeresi görünecek.","umut"
"Anlamak arzusuyla sorarım, vaktin niçin geciktiği hakkında bir izah var mıdır?","merak"
"Umarım kapılar açılacak.","umut"
"Bu kadarı artık fazladır; bu haksızlığa hiddet beslerim.","kizginlik"
"İçimde bir çekince doğdu görünen kadar kolay değildir.","cekince"
"Ettiğiniz ihsana karşı borcumu kelâm ile ödeyemem, gönlüm ferah buldu.","minnettarlik"
"Mürüvvet buyurup biraz mühlet tanıyınız.","istek"
"Lütufkâr efendim tam bir tâzim ile beyan eylerim; himmetinizi daima aziz tutarım.","saygi"
"Bu taşkınlığa tahammül edemem.","kizginlik"
"Bahşettiğiniz vakte karşı hâlisâne teşekkür ederim, bu inceliği pek aziz bildim.","minnettarlik"
